Samples	Label	Sex	Fraction	Comb	Comb2	Comb3	Family	Ab
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Other_fungi	44.3316933169332
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Davidiellaceae	2.49077490774908
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Trichocomaceae	9.81959819598196
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Malasseziaceae	16.1541615416154
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Saccharomycetaceae	2.06027060270603
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Pleosporaceae	2.88027880278803
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Corticiaceae	0
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Dothioraceae	1.74251742517425
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Wallemiaceae	0.379253792537925
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Cystofilobasidiaceae	5.2480524805248
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Hymenochaetaceae	0
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Cordycipitaceae	0
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Peniophoraceae	0
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Polyporaceae	0.010250102501025
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Filobasidiaceae	0
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Diatrypaceae	2.34727347273473
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Meruliaceae	0
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Erysiphaceae	0
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Phaeosphaeriaceae	0.522755227552276
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Leotiaceae	0.707257072570726
 12CM_10h_heavy	12C	Male	Heavy	10h_Heavy	12CMale	12CM	Other_fungi	55.6375563755638
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Davidiellaceae	8.38458384583846
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Trichocomaceae	6.22181221812218
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Malasseziaceae	1.4350143501435
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Saccharomycetaceae	1.17876178761788
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Pleosporaceae	0
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Corticiaceae	1.15826158261583
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Dothioraceae	0.02050020500205
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Wallemiaceae	0
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Cystofilobasidiaceae	0
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Hymenochaetaceae	2.68552685526855
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Cordycipitaceae	7.67732677326773
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Peniophoraceae	5.9860598605986
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Polyporaceae	1.2710127101271
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Filobasidiaceae	0
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Diatrypaceae	1.85526855268553
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Meruliaceae	0.38950389503895
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Erysiphaceae	0
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Phaeosphaeriaceae	5.67855678556785
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Leotiaceae	0
 13CF_4h_light	13C	Female	Light	4h_Light	13CFemale	Ti13CF	Other_fungi	56.0578105781058
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Davidiellaceae	11.6133661336613
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Trichocomaceae	21.6687166871669
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Malasseziaceae	4.06929069290693
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Saccharomycetaceae	5.19680196801968
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Pleosporaceae	4.69454694546945
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Corticiaceae	0
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Dothioraceae	10.1886018860189
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Wallemiaceae	0.420254202542025
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Cystofilobasidiaceae	0
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Hymenochaetaceae	0.010250102501025
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Cordycipitaceae	0.0820008200082001
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Peniophoraceae	0
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Polyporaceae	0.471504715047151
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Filobasidiaceae	0.1230012300123
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Diatrypaceae	0
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Meruliaceae	0
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Erysiphaceae	0
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Phaeosphaeriaceae	0.010250102501025
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Leotiaceae	0.984009840098401
 13CF_4h_heavy	13C	Female	Heavy	4h_Heavy	13CFemale	Ti13CF	Other_fungi	40.4674046740468
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Davidiellaceae	19.9774497744977
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Trichocomaceae	4.81754817548175
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Malasseziaceae	5.79130791307913
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Saccharomycetaceae	0.38950389503895
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Pleosporaceae	2.36777367773678
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Corticiaceae	0.02050020500205
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Dothioraceae	3.50553505535055
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Wallemiaceae	0
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Cystofilobasidiaceae	0
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Hymenochaetaceae	0
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Cordycipitaceae	0
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Peniophoraceae	2.23452234522345
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Polyporaceae	1.5990159901599
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Filobasidiaceae	0
 13CF_10h_light	13C	Female	Light	10h_Light	13CFemale	Ti13CF	Diatrypaceae	0
