OTU	Phylum	Class	Order	Family	Genus	Species
OTU527	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon_nespori
OTU528	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	unclassified	unclassified
OTU529	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU530	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU531	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU532	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU533	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU534	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Knufia	Knufia_petricola
OTU535	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Hyphodermella	Hyphodermella_sp
OTU536	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU537	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
OTU538	Basidiomycota	Agaricomycetes	Trechisporales	unclassified_Trechisporales	unclassified_Trechisporales	Trechisporales_sp
OTU539	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU540	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	unclassified	unclassified
OTU541	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hymenochaete	unclassified
OTU542	Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Cerinosterus	Cerinosterus_luteoalbus
OTU543	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	unclassified_Pezizaceae	Pezizaceae_sp
OTU544	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	unclassified	unclassified
OTU545	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Xanthoria	unclassified
OTU547	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus_dryophilus
OTU548	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU549	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_cynodontis
OTU550	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU551	Basidiomycota	unclassified	unclassified	unclassified	unclassified	unclassified
